1963,4,Comité international de la Croix Rouge ,0,0,1863,Switzerland,O
1963,4,Ligue des Sociétés de la Croix-Rouge ,0,0,1919,France,O
1963,2,Eugene Paul Wigner,17,10,1902,Austria-Hungary,M
1963,2,J. Hans D. Jensen,25,6,1907,Germany,M
1963,2,Maria Goeppert-Mayer,28,6,1906,Germany,F
1964,3,Dorothy Crowfoot Hodgkin,12,5,1910,United Kingdom,F
1964,1,Jean-Paul Sartre,21,6,1905,France,M
1964,5,Feodor Lynen,6,4,1911,Germany,M
1964,5,Konrad Bloch,21,1,1912,Germany,M
1964,4,Martin Luther King Jr.,15,1,1929,USA,M
1964,2,Aleksandr Mikhailovich Prokhorov,11,7,1916,Australia,M
1964,2,Charles Hard Townes,28,7,1915,USA,M
1964,2,Nicolay Gennadiyevich Basov,14,12,1922,Soviet Union,M
1965,3,Robert Burns Woodward,10,4,1917,USA,M
1965,1,Mikhail Aleksandrovich Sholokhov,24,6,1905,Russia,M
1965,5,André Lwoff,8,5,1902,France,M
1965,5,François Jacob,17,6,1920,France,M
1965,5,Jacques Monod,9,2,1910,France,M
1965,4,United Nations Children's Fund ,0,0,1946,,O
1965,2,Julian Schwinger,12,2,1918,USA,M
1965,2,Richard P. Feynman,11,5,1918,USA,M
1965,2,Sin-Itiro Tomonaga,31,3,1906,Japan,M
1966,3,Robert S. Mulliken,7,7,1896,USA,M
1966,1,Nelly Sachs,10,12,1891,Germany,F
1966,1,Shmuel Yosef Agnon,17,7,1888,Austria-Hungary,M
1966,5,Charles Brenton Huggins,22,9,1901,Canada,M
1966,5,Peyton Rous,5,11,1879,USA,M
1966,2,Alfred Kastler,3,5,1902,Germany,M
1967,3,George Porter,6,12,1920,United Kingdom,M
1967,3,Manfred Eigen,9,5,1927,Germany,M
1967,3,Ronald George Wreyford Norrish,9,10,1897,United Kingdom,M
1967,1,Miguel Angel Asturias,19,11,1899,Guatemala,M
1967,5,George Wald,18,10,1906,USA,M
1967,5,Haldan Keffer Hartline,22,12,1903,USA,M
1967,5,Ragnar Granit,30,11,1900,Finland,M
1967,2,Hans Albrecht Bethe,2,7,1906,Germany,M
1968,3,Lars Onsager,27,10,1903,Norway,M
1968,1,Yasunari Kawabata,11,6,1899,Japan,M
1968,5,Har Gobind Khorana,9,1,1922,India,M
1968,5,Marshall W. Nirenberg,10,4,1927,USA,M
1968,5,Robert W. Holley,28,1,1922,USA,M
1968,4,René Cassin,5,11,1887,France,M
1968,2,Luis Walter Alvarez,13,6,1911,USA,M
1969,3,Derek H. R. Barton,8,9,1918,United Kingdom,M
1969,3,Odd Hassel,17,5,1897,Norway,M
1969,1,Samuel Beckett,13,4,1906,Ireland,M
1969,5,Alfred D. Hershey,4,12,1908,USA,M
1969,5,Max Delbrück,4,9,1906,Germany,M
1969,5,Salvador E. Luria,13,8,1912,Italy,M
1969,4,International Labour Organization ,,,1919,Switzerland,O
1969,2,Murray Gell-Mann,15,9,1929,USA,M
1970,3,Luis F. Leloir,6,9,1906,France,M
1970,1,Aleksandr Isayevich Solzhenitsyn,11,12,1918,Russia,M
1970,5,Julius Axelrod,30,5,1912,USA,M
1970,5,Sir Bernard Katz,26,3,1911,Germany,M
1970,5,Ulf von Euler,7,2,1905,Sweden,M
1970,4,Norman E. Borlaug,25,3,1914,USA,M
1970,2,Hannes Olof Gösta Alfvén,30,5,1908,Sweden,M
1970,2,Louis Eugène Félix Néel,22,10,1904,France,M
1971,3,Gerhard Herzberg,25,12,1904,Germany,M
1971,1,Pablo Neruda,12,7,1904,Chile,M
1971,5,Wilbur Sutherland Jr.,19,11,1915,USA,M
1971,4,Willy Brandt,18,12,1913,Germany,M
1971,2,Dennis Gabor,5,6,1900,Hungary,M
1972,3,Christian B. Anfinsen,26,3,1916,USA,M
1972,3,Stanford Moore,4,9,1913,USA,M
1972,3,William H. Stein,25,6,1911,USA,M
1972,1,Heinrich Böll,21,12,1917,Germany,M
1972,5,Gerald M. Edelman,1,7,1929,USA,M
1972,5,Rodney R. Porter,8,11,1917,United Kingdom,M
1972,2,John Bardeen,23,5,1908,USA,M
1972,2,John Robert Schrieffer,31,5,1931,USA,M
1972,2,Leon Neil Cooper,28,2,1930,USA,M
1973,3,Ernst Otto Fischer,10,10,1918,Germany,M
1973,3,Geoffrey Wilkinson,14,7,1921,United Kingdom,M
1973,1,Patrick White,28,5,1912,United Kingdom,M
1973,5,Karl von Frisch,20,10,1886,Austria,M
1973,5,Konrad Lorenz,7,10,1903,Austria,M
1973,5,Nikolaas Tinbergen,15,4,1907,the Netherlands,M
1973,4,Henry A. Kissinger,27,5,1923,Germany,M
1973,4,Le Duc Tho,14,11,1911,Vietnam,M
1973,2,Brian David Josephson,4,1,1940,United Kingdom,M
1973,2,Ivar Giaever,5,4,1929,Norway,M
1973,2,Leo Esaki,12,3,1925,Japan,M
1974,3,Paul J. Flory,19,6,1910,USA,M
1974,1,Eyvind Johnson,29,7,1900,Sweden,M
1974,1,Harry Martinson,6,5,1904,Sweden,M
1974,5,Albert Claude,24,8,1898,Belgium,M
1974,5,Christian de Duve,2,11,1917,United Kingdom,M
1974,5,George E. Palade,19,10,1912,Romania,M
1974,4,Eisaku Sato,27,3,1901,Japan,M
1974,4,Seán MacBride,26,1,1904,France,M
1974,2,Antony Hewish,11,5,1924,United Kingdom,M
1974,2,Sir Martin Ryle,14,9,1918,United Kingdom,M
1975,3,John Warcup Cornforth,7,9,1917,Australia,M
1975,3,Vladimir Prelog,23,7,1906,Austria-Hungary,M
1975,1,Eugenio Montale,12,11,1896,Italy,M
1975,5,David Baltimore,7,3,1938,USA,M
1975,5,Howard Martin Temin,10,12,1934,USA,M
1975,5,Renato Dulbecco,22,2,1914,Italy,M
1975,4,Andrei Dmitrievich Sakharov,21,5,1921,Russia,M
1975,2,Aage Niels Bohr,19,6,1922,Denmark,M
1975,2,Ben Roy Mottelson,9,7,1926,USA,M
1975,2,Leo James Rainwater,9,12,1917,USA,M
1976,3,William N. Lipscomb,9,12,1919,USA,M
1976,1,Saul Bellow,10,6,1915,Canada,M
1976,5,Baruch S. Blumberg,28,7,1925,USA,M
1976,5,D. Carleton Gajdusek,9,9,1923,USA,M
1976,4,Betty Williams,22,5,1943,Northern Ireland,F
1976,4,Mairead Corrigan,27,1,1944,Northern Ireland,F
1976,2,Burton Richter,22,3,1931,USA,M
1976,2,Samuel Chao Chung Ting,27,1,1936,USA,M
1977,3,Ilya Prigogine,25,1,1917,Russia,M
1977,1,Vicente Aleixandre,26,4,1898,Spain,M
1977,5,Andrew V. Schally,30,10,1926,Poland,M
1977,5,Roger Guillemin,11,1,1924,France,M
1977,5,Rosalyn Yalow,19,7,1921,USA,F
